中文名,objmap_id,objmap_英文,objmap_中文,objmap_X,objmap_Z,objmap_Y,ShowLevel,我们x(lat),我们y(lng),偏差,层,visible
平原牧场遗迹,,,,,,,,275.67,108.13,,18,"6,7"
库坦池塘,,,,,,,,2944.84,2700.94,,18,"6,7"
库姆之地,,,,,,,,-2850.5,-4109.84,,18,"6,7"
库姆的秘泉,KumSpa,Sturnida Secret Hot Spring,库姆的秘泉,-4089.0,-2731.5,83.5,,-2731.5,-4089.0,0.0,18,"6,7"
库斯湖,,,,,,,,2042.06,3061.68,,18,"6,7"
库罕池塘,,,,,,,,2730.74,2787.81,,18,"6,7"
库荷山,,,,,,,,-1326.91,-3834.28,,18,"6,7"
德依布朗遗迹,BlindForest,Thyphlo Ruins,德依布朗遗迹,327.0043640136719,-3079.970947265625,0.0,,-3095.73,316.0,19.2,18,"6,7"
德谷多吊桥,XekuBridge,Digdogg Suspension Bridge,德谷多吊桥,-1661.3699951171875,1531.3277587890625,160.29067993164062,,1615.0,-1678.0,85.3,18,"6,7"
忘却神殿,KingValley,Forgotten Temple,忘却神殿,-1578.4407958984375,-2106.5400390625,0.0,,-2260.94,-1423.21,218.9,18,"6,7"
思古兰特树海,,,,,,,,3058.27,689.89,,18,"6,7"
恰加拉海滨,,,,,,,,3559.93,3194.1,,18,"6,7"
戴比岛,,,,,,,,-608.12,4636.83,,18,"6,7"
托托湖,,,,,,,,-889.85,3478.03,,18,"6,7"
托斯迈吉亚台地,,,,,,,,405.92,-4044.92,,18,"6,7"
托洛伊瓦高原,,,,,,,,365.49,4444.85,,18,"6,7"
托洛鼓悬崖,,,,,,,,-1890.88,1818.74,,18,"6,7"
托西奇池塘,,,,,,,,2533.54,2397.31,,18,"6,7"
托隆波海滩,,,,,,,,3552.55,4498.38,,18,"6,7"
拉布拉山,,,,,,,,-1340.18,-1939.72,,18,"6,7"
拉明平原,,,,,,,,-2025.64,-1218.67,,18,"6,7"
拉聂尔参道东口,LanayruEastEntrance,Lanayru Road - East Gate,拉聂尔参道东口,3186.644775390625,1152.425537109375,344.7451171875,,1156.32,3157.37,29.5,18,"6,7"
拉聂尔参道中央广场,ShigonDam,Lanayru Promenade,拉聂尔参道中央广场,2718.1865234375,1116.644775390625,81.667236328125,,1116.64,2718.19,0.0,18,"6,7"
拉聂尔参道西口,LanayruWestEntrance,Lanayru Road - West Gate,拉聂尔参道西口,2299.192626953125,713.8688354492188,297.2833251953125,,768.77,2283.39,57.1,18,"6,7"
拉聂尔台地,,,,,,,,917.77,2798.95,,18,"6,7"
拉聂尔大水源,,,,,,,,108.87,3568.64,,18,"6,7"
拉聂尔天空诸岛,SkyIslands_Lanayru03,Lanayru Sky Archipelago,拉聂尔天空诸岛,3010.072265625,-83.19644165039062,2000.0,,-114.66,3043.1,45.6,18,"6,7"
拉聂尔山,,,,,,,,1120.24,3882.4,,18,"6,7"
拉聂尔海,,,,,,,,-196.8,4674.54,,18,"6,7"
拉聂尔湿地,,,,,,,,58.98,1825.73,,18,"6,7"
拉聂尔群山,,,,,,,,1596.34,3993.52,,18,"6,7"
拉聂尔高地,,,,,,,,1244.8,2929.5,,18,"6,7"
拉贝岩礁,,,,,,,,3850.02,-174.46,,18,"6,7"
拉贝拉湿地带,,,,,,,,2782.41,2420.0,,18,"6,7"
拉鲁特大桥,DodoraBridge,Luto's Crossing,拉鲁特大桥,3067.7861328125,-3.112060546875,262.9678039550781,,8.17,3085.11,20.7,18,"6,7"
摩尔德岛,,,,,,,,206.69,1843.09,,18,"6,7"
摩尔达巴山,,,,,,,,3599.81,-1391.49,,18,"6,7"
摩尔迦娜山,,,,,,,,3361.44,-1376.09,,18,"6,7"
撒丁公园遗迹,SojijiPark,Sanidin Park Ruins,撒丁公园遗迹,-1630.0,695.564208984375,246.74261474609375,,688.02,-1629.73,7.5,18,"6,7"
撒戎树海,,,,,,,,3279.1,1131.63,,18,"6,7"
撒戎桥,SarjonBridge,Sarjon Bridge,撒戎桥,1025.146240234375,3235.45947265625,125.02842712402344,,3235.46,1025.15,0.0,18,"6,7"
文特岛,,,,,,,,987.95,4517.7,,18,"6,7"
斯塔尔里台地,,,,,,,,2714.92,-1571.53,,18,"6,7"
斯普尔湾,,,,,,,,-192.52,4403.18,,18,"6,7"
无底池塘,,,,,,,,581.55,509.92,,18,"6,7"
时之森林,,,,,,,,1525.37,-367.97,,18,"6,7"
时之神殿遗迹,TimesShrine,Temple of Time Ruins,时之神殿遗迹,-818.0821533203125,2002.0025634765625,222.0002899169922,,1937.82,-805.85,65.3,18,"6,7"
智慧之泉,WiseFountain,Spring of Wisdom,智慧之泉,3926.441650390625,1335.4703369140625,555.9635009765625,,1335.47,3926.44,0.0,18,"6,7"
暴风谷,,,,,,,,-2954.23,-3065.76,,18,"6,7"
更格尔山,,,,,,,,-418.94,1169.9,,18,"6,7"
更格尔山丘,,,,,,,,-909.21,680.54,,18,"6,7"
本拉斯树海,,,,,,,,3254.44,1477.94,,18,"6,7"
杜·邦山脉,,,,,,,,119.19,2728.61,,18,"6,7"
杜艾斯岛,,,,,,,,90.73,1745.89,,18,"6,7"
杰德桥,LeMarbeBridge,Jeddo Bridge,杰德桥,-1689.858154296875,130.83578491210938,190.0,,129.82,-1689.55,1.1,18,"6,7"
松达建筑店 作业场所,UMiiVillage_JobField,Hudson Construction Site,松达建筑店 作业场所,3723.727783203125,-1611.935546875,219.23092651367188,,-1618.48,3685.66,38.6,18,"6,7"
林克的家,,,,,,,,-1379.92,4208.2,,18,"6,7"
林芭海滩,,,,,,,,3721.09,3167.14,,18,"6,7"
查波雪原,,,,,,,,1127.52,-3473.62,,18,"6,7"
柯库皮雪原,,,,,,,,-2508.51,-2345.44,,18,"6,7"
柯荷利特台地,,,,,,,,3742.75,4654.15,,18,"6,7"
格鲁德山顶,,,,,,,,699.14,-4104.68,,18,"6,7"
格鲁德峡谷,,,,,,,,2216.0,-2308.23,,18,"6,7"
格鲁德峡谷入口,GerudoCanyon_Entrance,Gerudo Canyon Pass,格鲁德峡谷入口,-1665.0,2028.0,80.0,,2028.0,-1665.0,0.0,18,"6,7"
格鲁德沙漠,,,,,,,,3428.9,-3681.58,,18,"6,7"
格鲁德沙漠入口,GerudoDesert_Entrance,Gerudo Desert Gateway,格鲁德沙漠入口,-2924.1181640625,2329.389892578125,138.41763305664062,,2329.39,-2924.12,0.0,18,"6,7"
格鲁德高地,,,,,,,,843.24,-4088.51,,18,"6,7"
梅布尔高原,,,,,,,,1424.2,1336.59,,18,"6,7"
梅竹台地,,,,,,,,1787.04,-2197.7,,18,"6,7"
欧兰桥,RirikendoBridge,Oren Bridge,欧兰桥,2875.4521484375,19.9541015625,187.5,,57.5,2877.5,37.6,18,"6,7"
欧荷利桥,MasazuBridge,Moat Bridge,欧荷利桥,-613.1675415039062,-666.885498046875,108.63424682617188,,-666.89,-613.17,0.0,18,"6,7"
死亡之山,,,,,,,,-2479.47,2530.13,,18,"6,7"
死亡之山登山口,DeathMountain_Entrance,Maw of Death Mountain,死亡之山登山口,2390.91357421875,-1316.3468017578125,146.12503051757812,,-1316.35,2390.91,0.0,18,"6,7"
死亡之山西边作业场所,DeathMountainWestWorkshop,Death Mountain West Site,死亡之山西边作业场所,2169.0,-2729.92333984375,635.5,,-2693.5,2169.0,36.4,18,"6,7"
死亡破火山口,,,,,,,,-2971.02,2563.4,,18,"6,7"
毅力崖,GameGutsCriff,Gut Check Rock,毅力崖,2685.934326171875,-3471.151611328125,302.0478515625,,-3471.15,2685.93,0.0,18,"6,7"
比利丁高地,,,,,,,,1868.02,-3475.82,,18,"6,7"
比托谷,,,,,,,,2564.32,1329.27,,18,"6,7"
比隆雪原,,,,,,,,-2982.07,-3719.05,,18,"6,7"
水涌之岛,EX_LowGravityIsland,Wellspring Island,水涌之岛,3520.25,-535.5,2000.0,,-559.77,3548.52,37.3,18,"6,7"
沃尔纳山,,,,,,,,-2635.12,-561.42,,18,"6,7"
沃尔纳特山,,,,,,,,1922.01,4170.0,,18,"6,7"
沃尔纳高地,,,,,,,,-3121.0,-344.38,,18,"6,7"
沃托里拉力赛,,,,,,,,3689.6,2977.98,,18,"6,7"
沙漠的裂缝,GerudoDesertCrack,Desert Rift,沙漠的裂缝,-3515.142333984375,2731.392333984375,79.15701293945312,,2731.39,-3515.14,0.0,18,"6,7"
法兰台地,,,,,,,,1225.73,2509.43,,18,"6,7"
泡泡拉高地,,,,,,,,2177.13,812.7,,18,"6,7"
波努鲁山地,,,,,,,,1130.31,2153.19,,18,"6,7"
波奇桥,ToriaBridge,Boneyard Bridge,波奇桥,270.2871398925781,-711.8923950195312,109.66494750976562,,-712.14,269.74,0.6,18,"6,7"
波奈湖,,,,,,,,-13.67,2083.95,,18,"6,7"
波浓岛,,,,,,,,383.67,1774.17,,18,"6,7"
泰尔美山,,,,,,,,2676.39,2483.6,,18,"6,7"
泰尔美岭,,,,,,,,2853.93,2713.69,,18,"6,7"
泰斯塔桥,SotonkaBridge,Manhala Bridge,泰斯塔桥,-1611.02783203125,1023.41796875,108.57080078125,,1016.82,-1610.28,6.6,18,"6,7"
泰格利平原,,,,,,,,2916.18,-754.04,,18,"6,7"
泰荷塔湿地,,,,,,,,3839.29,-629.77,,18,"6,7"
泽卡瓦米的秘泉,KingfisherSpa,Sherfin's Secret Hot Spring,泽卡瓦米的秘泉,-4319.5,-3495.0,460.5,,-3495.0,-4319.5,0.0,18,"6,7"
泽罗池塘,,,,,,,,-511.11,1646.41,,18,"6,7"
洁净池塘,,,,,,,,1314.12,3261.38,,18,"6,7"
洛兹伍德山,,,,,,,,2195.25,2377.45,,18,"6,7"
洛塔托台地,,,,,,,,830.23,3089.41,,18,"6,7"
洛美岛,LomeiIslands,Lomei Labyrinth Island,洛美岛,4655.4453125,-3527.4072265625,156.88916015625,,-3650.3,4654.1,122.9,18,"6,7"
海利亚大桥,HyralBridge,Bridge of Hylia,海利亚大桥,-37.407470703125,2518.481201171875,131.8359375,,2518.48,-37.41,0.0,18,"6,7"
海利亚山,,,,,,,,2180.24,-1277.15,,18,"6,7"
海利亚岛,,,,,,,,2638.24,-329.84,,18,"6,7"
海布拉冻原,,,,,,,,-3297.97,-3395.05,,18,"6,7"
海布拉北峰,,,,,,,,-3740.21,-3539.27,,18,"6,7"
海布拉山东岳,,,,,,,,-3053.67,-2752.84,,18,"6,7"
海布拉山北岳,,,,,,,,-3612.72,-3983.64,,18,"6,7"
海布拉山南岳,,,,,,,,-2576.25,-3471.16,,18,"6,7"
海布拉山山顶,,,,,,,,-2913.75,-2770.68,,18,"6,7"
海布拉山脉,,,,,,,,-3024.68,-3079.07,,18,"6,7"
海布拉山脉登山口的小屋,HeburaLodge,Hebra Trailhead Lodge,海布拉山脉登山口的小屋,-3572.022705078125,-2258.135009765625,227.83004760742188,,-2258.14,-3572.02,0.0,18,"6,7"
海布拉水源,,,,,,,,-2415.83,-2830.42,,18,"6,7"
海布拉河,,,,,,,,-2328.21,-2756.67,,18,"6,7"
海拉鲁丘陵,,,,,,,,-407.08,-2382.62,,18,"6,7"
海拉鲁军事演习场遗迹,HyrulePlace,Military Training Camp,海拉鲁军事演习场遗迹,855.0,-1427.0,196.5,,-1427.0,855.0,0.0,18,"6,7"
海拉鲁城邑遗迹,CastleTownMark,Hyrule Castle Town Ruins,海拉鲁城邑遗迹,-254.41683959960938,-375.6507873535156,-41.939788818359375,,-375.65,-254.42,0.0,18,"6,7"
海拉鲁大圣堂遗迹,HyruleTemple,Hyrule Cathedral,海拉鲁大圣堂遗迹,80.041015625,-628.24560546875,99.85395812988281,,-628.25,80.04,0.0,18,"6,7"
海拉鲁大森林,,,,,,,,-2545.78,363.83,,18,"6,7"
海拉鲁平原,,,,,,,,581.6,-458.72,,18,"6,7"
海拉鲁森林公园遗迹,HyrulePark,Hyrule Forest Park,海拉鲁森林公园遗迹,192.4190673828125,-937.74560546875,105.46299743652344,,-937.75,192.42,0.0,18,"6,7"
海拉鲁驻军地遗迹,HyruleGarrison,Hyrule Garrison Ruins,海拉鲁驻军地遗迹,-596.5,571.5,52.5,,571.5,-596.5,0.0,18,"6,7"
海马高地,,,,,,,,152.98,-4239.65,,18,"6,7"
深远阿卡莱,,,,,,,,-3186.16,3602.15,,18,"6,7"
深远阿卡莱平原,,,,,,,,-3348.96,3743.58,,18,"6,7"
澳尔帕台地,,,,,,,,1207.23,-2939.79,,18,"6,7"
火萤台地,,,,,,,,2380.3,2949.42,,18,"6,7"
爱恩河,,,,,,,,3251.92,-15.2,,18,"6,7"
特托拉平原,,,,,,,,3298.63,-348.24,,18,"6,7"
独杉群山,,,,,,,,2205.39,4403.44,,18,"6,7"
王室古代研究所遗迹,HyruleLabo,Royal Ancient Lab Ruins,王室古代研究所遗迹,-1249.5008544921875,-1023.3812255859375,200.0,,-1023.38,-1249.5,0.0,18,"6,7"
玛丽塔交易所遗迹,MarritaExchange,Maritta Exchange Ruins,玛丽塔交易所遗迹,-1781.5714111328125,-1685.0667724609375,200.0,,-1685.07,-1781.57,0.0,18,"6,7"
玛丽塔平原,,,,,,,,-1736.63,-1669.75,,18,"6,7"
玛克米诺谷,,,,,,,,3394.45,95.26,,18,"6,7"
玛德罗纳山,,,,,,,,1688.99,3821.57,,18,"6,7"
玛林湾,,,,,,,,-1900.77,4405.71,,18,"6,7"
玛科莱岛,,,,,,,,-2193.72,-259.56,,18,"6,7"
玛科莱湖,,,,,,,,-2749.98,337.24,,18,"6,7"
玛萨海湾,,,,,,,,3728.92,1206.68,,18,"6,7"
环卡遗迹,RingLegacy,Ring Ruins,环卡遗迹,1810.367919921875,906.7127075195312,290.65985107421875,,927.0,1813.5,20.5,18,"6,7"
珊湖,,,,,,,,3056.36,-48.06,,18,"6,7"
瓦舒阿山丘,,,,,,,,87.18,-2731.8,,18,"6,7"
白诘报社,NewspaperCompany,Lucky Clover Gazette,白诘报社,-3255.840576171875,-1757.5853271484375,256.6017761230469,,-1757.63,-3255.57,0.3,18,"6,7"
皮埃尔高地,,,,,,,,944.07,2213.06,,18,"6,7"
监狱遗迹,Execution,Castle Town Prison,监狱遗迹,-676.7860107421875,-836.9832763671875,92.37962341308594,,-836.98,-676.79,0.0,18,"6,7"
盖洛湖,,,,,,,,-1728.58,2427.52,,18,"6,7"
眼镜岩,,,,,,,,2538.04,-2222.08,,18,"6,7"
碎石场遗迹,,,,,,,,-413.94,-726.2,,18,"6,7"
神庙岛,,,,,,,,439.16,1661.44,,18,"6,7"
秋叶台地,,,,,,,,-3153.44,4166.96,,18,"6,7"
科嘉奈亚池塘,,,,,,,,2916.25,2995.04,,18,"6,7"
科尔奈海滩,,,,,,,,3656.19,2940.91,,18,"6,7"
科彭嘉岛,,,,,,,,355.06,1554.49,,18,"6,7"
科彭嘉村遗迹,ChirakaVillage,Goponga Village Ruins,科彭嘉村遗迹,1619.9368896484375,281.8609619140625,109.79548645019531,,281.86,1619.94,0.0,18,"6,7"
科摩罗池塘,,,,,,,,1163.09,-487.48,,18,"6,7"
科摩罗驻军地遗迹,GatakaraGarrison,Kolomo Garrison Ruins,科摩罗驻军地遗迹,-464.3898620605469,1272.5506591796875,128.99136352539062,,1272.55,-464.39,0.0,18,"6,7"
科莫莱海滩,,,,,,,,3932.49,698.76,,18,"6,7"
竞技场遗迹,Corosseo,Coliseum Ruins,竞技场遗迹,-1151.0,1262.5,50.0,,1262.5,-1151.0,0.0,18,"6,7"
米奇奇河,,,,,,,,-2549.58,1486.1,,18,"6,7"
米奥乌岛,,,,,,,,145.83,2024.59,,18,"6,7"
米德沼泽,,,,,,,,-2353.95,812.01,,18,"6,7"
米考湖,,,,,,,,-563.78,3548.67,,18,"6,7"
米诺米诺湾,,,,,,,,2879.94,3480.91,,18,"6,7"
精灵森林,,,,,,,,1705.28,-962.76,,18,"6,7"
红叶湖,,,,,,,,-3017.48,4268.15,,18,"6,7"
纳克仑岛,,,,,,,,-815.53,4653.2,,18,"6,7"
纳利夏高地,,,,,,,,1243.9,1849.91,,18,"6,7"
纳比湖,,,,,,,,1162.92,1098.47,,18,"6,7"
终焉之谷,,,,,,,,-554.41,-1437.21,,18,"6,7"
维斯岛,,,,,,,,300.23,1393.83,,18,"6,7"
罗姆山,,,,,,,,-776.02,-2690.96,,18,"6,7"
罗德拉姆半岛,,,,,,,,641.6,4444.75,,18,"6,7"
罗玛尼平原,,,,,,,,-358.19,338.48,,18,"6,7"
罗达伊湖,,,,,,,,3129.85,1864.0,,18,"6,7"
聂尔龙雪原,,,,,,,,1418.47,3508.39,,18,"6,7"
腾图丘陵,,,,,,,,3400.41,2381.76,,18,"6,7"
艾奇斯帕森林,,,,,,,,2011.59,3853.02,,18,"6,7"
艾尔姆丘陵,,,,,,,,-1796.79,-415.3,,18,"6,7"
艾波尼山,,,,,,,,2531.15,3350.91,,18,"6,7"
艾美拉尔台地,,,,,,,,1296.49,-4100.34,,18,"6,7"
芬拉斯树海,,,,,,,,2952.63,423.31,,18,"6,7"
芬萨桥,OsanjoBridge,Helmhead Bridge,芬萨桥,398.2904052734375,-1167.307373046875,110.24658966064453,,-1165.32,397.94,2.0,18,"6,7"
花之中州,FlowerSandbank,Floret Sandbar,花之中州,853.5999755859375,837.300048828125,59.79999923706055,,837.3,853.6,0.0,18,"6,7"
花柔莉亚大瀑布,,,,,,,,3256.5,1772.76,,18,"6,7"
花柔莉亚山,,,,,,,,2777.76,1931.04,,18,"6,7"
花柔莉亚桥,FloriaBridge,Floria Bridge,花柔莉亚桥,1731.42822265625,3454.841552734375,159.75515747070312,,3454.84,1731.43,0.0,18,"6,7"
花柔莉亚河,,,,,,,,3327.13,1277.0,,18,"6,7"
花柔莉亚湖,,,,,,,,3532.01,1737.86,,18,"6,7"
苹果森林,,,,,,,,-288.83,552.63,,18,"6,7"
茨卡耶台地,,,,,,,,2616.4,2855.96,,18,"6,7"
茹特拉大坝,,,,,,,,78.22,3557.45,,18,"6,7"
草笛山丘,,,,,,,,851.84,151.76,,18,"6,7"
荣光室,,,,,,,,3611.56,-4518.55,,18,"6,7"
荷奈尔桥,ShichijoBridge,Horwell Bridge,荷奈尔桥,680.188232421875,977.8677978515625,86.44087982177734,,977.87,680.19,0.0,18,"6,7"
荷隆湾,,,,,,,,314.36,4234.2,,18,"6,7"
莫尔赛湖,,,,,,,,1233.84,562.98,,18,"6,7"
莫约里桥,JokuBridge,Proxim Bridge,莫约里桥,207.05984497070312,1604.388427734375,63.122474670410156,,1604.39,207.06,0.0,18,"6,7"
莫里桥,,,,,,,,-1287.57,-3117.19,,18,"6,7"
莱波纳桥,JogoBridge,Rebonae Bridge,莱波纳桥,823.5714111328125,20.50970458984375,105.18086242675781,,20.51,823.57,0.0,18,"6,7"
萨乌兹岛,,,,,,,,169.61,1451.77,,18,"6,7"
萨尔法山丘,,,,,,,,856.56,-1756.46,,18,"6,7"
萨托利山,,,,,,,,288.26,-2259.38,,18,"6,7"
萨玛莎平原,,,,,,,,567.59,3238.91,,18,"6,7"
萨莉娅湖,,,,,,,,-1883.16,64.06,,18,"6,7"
萨菲亚斯台地,,,,,,,,1574.21,-3169.78,,18,"6,7"
蟹蟹岛,,,,,,,,-3073.99,1542.17,,18,"6,7"
西哈特尔,,,,,,,,1524.74,1297.49,,18,"6,7"
西哈特尔天空诸岛,SkyIslands_Firone02,West Necluda Sky Archipelago,西哈特尔天空诸岛,1295.386962890625,2346.8359375,2001.628662109375,,2071.01,1301.54,275.9,18,"6,7"
西埃文坡高地,,,,,,,,-3454.64,16.8,,18,"6,7"
西格鲁德,,,,,,,,2502.27,-4541.14,,18,"6,7"
西格鲁德遗迹,,,,,,,,2296.87,-4468.56,,18,"6,7"
西海拉鲁城邑遗迹,,,,,,,,-450.0,-514.23,,18,"6,7"
西海拉鲁天空诸岛,SkyIslands_Hyrule05,West Hyrule Sky Archipelago,西海拉鲁天空诸岛,-2292.015625,538.689453125,1000.0,,411.74,-2290.43,127.0,18,"6,7"
西海拉鲁平原,,,,,,,,-202.07,-1605.53,,18,"6,7"
觉醒山,,,,,,,,1463.03,2912.35,,18,"6,7"
许愿河畔,,,,,,,,-87.14,2751.72,,18,"6,7"
贝利尔雪原,,,,,,,,1090.75,-4556.4,,18,"6,7"
贝立德关卡,,,,,,,,3194.07,-2042.26,,18,"6,7"
贝莱平原,,,,,,,,-914.98,1392.17,,18,"6,7"
贝莱谷,,,,,,,,-709.56,2272.28,,18,"6,7"
费罗尼天空诸岛,SkyIslands_Firone01,Faron Sky Archipelago,费罗尼天空诸岛,-68.03298950195312,2751.132080078125,1000.0,,2550.03,-112.51,206.0,18,"6,7"
费罗尼树海入口,FironeForestEntrance,Faron Woods,费罗尼树海入口,413.5298767089844,3030.389404296875,66.51881408691406,,3030.39,413.53,0.0,18,"6,7"
费罗尼海,,,,,,,,3986.36,-51.16,,18,"6,7"
费罗尼草原,,,,,,,,3156.43,-423.3,,18,"6,7"
费罗龙台地,,,,,,,,2487.62,556.18,,18,"6,7"
贾拉湖,,,,,,,,2223.7,2967.45,,18,"6,7"
路特斯湖,,,,,,,,3089.04,1685.59,,18,"6,7"
路茨平原,,,,,,,,-481.12,-3805.89,,18,"6,7"
达夫奈斯山,,,,,,,,556.23,-1105.0,,18,"6,7"
达姆泽尔树海,,,,,,,,2700.08,832.08,,18,"6,7"
达尔布尔桥,SusukadiBridge,Inogo Bridge,达尔布尔桥,2344.239013671875,-249.47760009765625,119.5,,-237.5,2350.5,13.5,18,"6,7"
达拉伊特森林,,,,,,,,1138.95,-2051.04,,18,"6,7"
达斯齐达山,,,,,,,,3170.67,3197.39,,18,"6,7"
达斯齐达高原,,,,,,,,3081.75,3002.68,,18,"6,7"
达鲁尼亚湖,,,,,,,,-2841.86,1405.33,,18,"6,7"
达鲁波池塘,,,,,,,,-2042.68,2336.47,,18,"6,7"
达鲁马湖,,,,,,,,-3031.67,2005.74,,18,"6,7"
迈尔卡岛,,,,,,,,-131.02,1712.68,,18,"6,7"
迷途森林,LostForest,Lost Woods,迷途森林,723.0,-1918.5,243.5,,-1918.5,723.0,0.0,18,"6,7"
通往天空的连绵岛屿,Rito_SkyHighIsland,Rising Island Chain,通往天空的连绵岛屿,-3156.0,-3215.0,2000.0,,-3215.0,-3156.0,0.0,18,"6,7"
遮光室,,,,,,,,3706.31,-4553.91,,18,"6,7"
避难壕,BaseCamp_Shelter,Emergency Shelter,避难壕,-254.0,-98.0,112.94673156738281,,-98.0,-254.0,0.0,18,"6,7"
邦迈扎湖,,,,,,,,2873.27,904.49,,18,"6,7"
采光室,,,,,,,,3648.33,-4555.32,,18,"6,7"
门前驿站村遗迹,FrontGatePosttown,Gatepost Town Ruins,门前驿站村遗迹,-537.875,1445.4765625,106.68594360351562,,1445.48,-537.88,0.0,18,"6,7"
阔塔台地,,,,,,,,557.74,2157.72,,18,"6,7"
阿乌尔桥,HachijoBridge,Owlan Bridge,阿乌尔桥,325.4758605957031,1273.4111328125,63.122474670410156,,1273.41,325.48,0.0,18,"6,7"
阿克伦岛,,,,,,,,-1026.99,4651.7,,18,"6,7"
阿卡莱堡垒连通桥遗迹,AkkareZhaiBridge,Akkala Bridge Ruins,阿卡莱堡垒连通桥遗迹,3161.595703125,-1416.6414794921875,382.8829040527344,,-1416.64,3161.6,0.0,18,"6,7"
阿卡莱大桥,AkkareBigBridge,Akkala Span,阿卡莱大桥,3009.3466796875,-1231.556396484375,331.1661376953125,,-1231.56,3009.35,0.0,18,"6,7"
阿卡莱海,,,,,,,,-3428.55,4811.54,,18,"6,7"
阿卡莱湖,,,,,,,,-1496.9,3924.29,,18,"6,7"
阿卡莱练兵场遗迹,AkkareGarrison,Akkala Parade Ground Ruins,阿卡莱练兵场遗迹,3307.783203125,-1235.517822265625,217.46124267578125,,-1235.52,3307.78,0.0,18,"6,7"
阿卡莱高原,,,,,,,,-2205.88,3476.85,,18,"6,7"
阿尔达台地,,,,,,,,-2079.8,-735.72,,18,"6,7"
阿德亚村遗迹,AdeyaVillage,Deya Village Ruins,阿德亚村遗迹,354.5307312011719,1962.51318359375,115.00419616699219,,1962.51,354.53,0.0,18,"6,7"
阿拉伊索海岸,,,,,,,,3878.85,1936.1,,18,"6,7"
阿拉布平原,,,,,,,,590.48,2614.56,,18,"6,7"
阿拉弗拉平原,,,,,,,,3335.28,446.59,,18,"6,7"
阿沅队本部,Mine,YunoboCo HQ,阿沅队本部,1601.56103515625,-2832.371826171875,517.49560546875,,-2858.5,1618.5,31.1,18,"6,7"
阿盖特山,,,,,,,,861.76,-4931.03,,18,"6,7"
阿米麦台地,,,,,,,,3631.89,219.74,,18,"6,7"
阿莫西亚海岸,,,,,,,,1830.09,4603.31,,18,"6,7"
雅西诺海滩,,,,,,,,3459.75,3496.54,,18,"6,7"
雅西诺遗迹,YashinoLegacy,Palmorae Ruins,雅西诺遗迹,3462.30029296875,3378.536376953125,3.80413818359375,,3378.54,3462.3,0.0,18,"6,7"
雷兽山,,,,,,,,-660.04,3853.25,,18,"6,7"
雷鸣之岛,ZonauThunderSkyIsland,Thunderhead Isles,雷鸣之岛,911.68798828125,3064.657958984375,2000.0,,3064.66,911.69,0.0,18,"6,7"
露朵台地,,,,,,,,-235.48,3408.84,,18,"6,7"
露朵山,,,,,,,,94.8,3243.23,,18,"6,7"
露朵湖,,,,,,,,-162.51,3171.15,,18,"6,7"
露露湖,,,,,,,,-587.61,3709.5,,18,"6,7"
青蛙池塘,,,,,,,,1659.28,-1191.48,,18,"6,7"
飞行训练场,ValleyVillage,Flight Range,飞行训练场,-3852.72802734375,-2289.991943359375,95.32275390625,,-2302.08,-3808.69,45.7,18,"6,7"
马克雅林高地,,,,,,,,609.52,-3392.41,,18,"6,7"
马兹拉桥,ShijoBridge,Orsedd Bridge,马兹拉桥,517.107421875,-497.24395751953125,90.39151000976562,,-497.9,516.79,0.7,18,"6,7"
马尔鼓坑道,Cave_Eldin_0027,,,,,,,-2013.3,2007.96,,18,"6,7"
马尔鼓池塘,,,,,,,,-2150.35,2097.29,,18,"6,7"
马布尔德平原,,,,,,,,2282.41,2770.2,,18,"6,7"
马泷之泉,MaronSpring,Malanya Spring,马泷之泉,4296.0546875,-3218.709716796875,254.64031982421875,,-3219.05,4296.04,0.3,18,"6,7"
马神桥,TurasuBridge,Horse God Bridge,马神桥,596.946533203125,3722.38623046875,162.65383911132812,,3722.39,596.95,0.0,18,"6,7"
马神湖,,,,,,,,3635.11,635.19,,18,"6,7"
马秋兹半岛,,,,,,,,-2243.0,4616.4,,18,"6,7"
骷髅池塘,,,,,,,,-3498.72,3313.56,,18,"6,7"
鱼鳞飞舞之岛,Zora_FishIsland,Floating Scales Island,鱼鳞飞舞之岛,4077.055419921875,-535.5341186523438,1001.0,,-535.53,4077.06,0.0,18,"6,7"
鲁奇玛高地,,,,,,,,1417.04,-4527.03,,18,"6,7"
鲁皮湖,,,,,,,,-1144.25,1201.7,,18,"6,7"
鸟鸣草原,,,,,,,,204.79,-596.41,,18,"6,7"
麦贝草原,,,,,,,,-193.85,123.71,,18,"6,7"
黄泉河,,,,,,,,1981.25,-1227.88,,18,"6,7"
默米河,,,,,,,,1952.35,2821.55,,18,"6,7"
鼓大河,,,,,,,,-1842.93,1566.7,,18,"6,7"
鼓大湖,,,,,,,,-1482.79,1801.16,,18,"6,7"
鼓洛斯湖,,,,,,,,-2453.81,1864.91,,18,"6,7"
鼓隆温泉,,,,,,,,-2255.68,1775.96,,18,"6,7"
齐纳嘉莱湿地带,,,,,,,,-675.51,-2131.81,,18,"6,7"
龙之流放地,,,,,,,,3508.57,-4785.08,,18,"6,7"
龙头岛,ZonauTriedForceSkyIsland,Dragonhead Island,龙头岛,1460.0,3380.75,2000.0,,3329.81,1382.25,93.0,18,"6,7"
